divipola_key;numero_contratos;inversion_publica_total
63212;625;11495653590
41548;397;11416574796
15808;307;11366255175
15276;119;11343362326
05036;277;11270422128
17442;346;11260528729
25781;312;11074975095
05142;272;11056853773
41885;332;11006176473
17444;257;10953732917
13062;783;10893966448
25743;298;10890570301
17272;315;10670098997
76823;385;10620489932
54239;307;10509184480
73854;513;10480535105
20614;29;10428765098
05642;250;10378457757
68655;7;10214991171
15537;370;10209399784
52573;1443;10119543389
41378;281;10008800795
15162;302;9986298856
15774;274;9968663079
23162;116;9857220668
68773;482;9855019817
18610;23;9825622959
70204;575;9811838175
15820;45;9805971816
05475;185;9759453250
68780;558;9705356139
68051;196;9677511760
17088;170;9663808746
68211;340;9649719702
25436;385;9617463970
41357;148;9564229514
47980;1239;9487298387
86571;41;9446646616
47551;641;9446026310
63111;476;9318344966
68167;314;9188557565
54553;341;9009668069
13160;693;8964378997
20238;49;8857341975
44420;32;8708967689
25288;263;8694198013
52022;1101;8658981831
68572;132;8591311574
73873;447;8590974385
15480;31;8513361638
76869;306;8456959113
08436;836;8090470878
44110;7;8072638493
52233;419;8065520432
15839;52;8057407958
52287;955;7973541505
15764;29;7921201935
85250;142;7755527166
15135;35;7747096717
05792;220;7728732589
17388;238;7726022344
50330;235;7710625506
05467;203;7631047756
76670;263;7613370325
15296;49;7553447359
44098;11;7541991956
17513;226;7472297211
81300;200;7452726585
19142;26;7417464295
15816;46;7377025738
68524;206;7352178892
66440;289;7280234502
27615;5;7269643377
15367;31;7134177505
68855;177;6924604477
23189;2;6905850330
15723;208;6758036797
17665;110;6743685084
81591;143;6681374204
15189;30;6564835274
15109;39;6422703243
47030;185;6369176464
25878;318;6355721195
41801;214;6271785382
15500;197;6241353812
85125;148;6227459051
76250;230;6217890742
73770;750;6214880814
70823;528;6093188749
20310;368;6076311484
54398;64;5939462427
54250;34;5927537673
68209;172;5909339403
08685;287;5867968345
23068;294;5855293883
52612;43;5854246900
13673;537;5698351919
54206;22;5677291845
15842;32;5513141465
52250;13;5422882376
15810;38;5368777767
68318;144;5349087509
15180;31;5324941511
15664;39;5309946860
47058;23;5298281515
08675;470;5241588986
68522;254;5211786521
85315;219;5072860661
68013;346;5047118094
20710;17;4929591149
18479;17;4839673887
68669;168;4697094909
15897;398;4690606874
23807;152;4686519034
15696;23;4681372790
05856;112;4637499430
27245;4;4567557551
25815;22;4511318569
15172;37;4499556300
19100;260;4486692891
68397;113;4464204386
25871;123;4439541082
25398;19;4419715092
68245;323;4391768069
19256;18;4326697913
15621;27;4262925302
15226;35;4234548675
41483;129;4161591450
76377;244;4097410044
05361;163;4040803915
68271;16;3978701681
08137;21;3822184169
20383;11;3802888246
47660;598;3777346817
47707;31;3766493724
05138;16;3763286674
19022;16;3740438524
54871;154;3577555437
25885;9;3544591229
73563;88;3304338784
25807;53;3285344387
76863;101;3245155091
25035;101;3233167020
05873;4;3223365836
25592;16;3188657503
15187;70;3148153751
70708;8;3141904371
73861;43;3129388318
15223;33;3104884528
68368;17;3037312200
52699;7;3022339701
05501;71;3001879562
47053;587;2997524612
68092;12;2983350721
54313;21;2967410086
86219;16;2931893630
25326;8;2918894259
25328;11;2908582231
68502;19;2906590420
15236;15;2893597453
52354;10;2818169323
47318;116;2795844699
23466;1;2776779699
20443;17;2774689196
18247;27;2606217454
73352;18;2574739797
25779;19;2562401275
68324;65;2524130625
19050;11;2505867543
17653;87;2474565430
44078;25;2468213658
73024;14;2464428958
68296;22;2458113655
68121;41;2395959182
68327;15;2390664977
52838;16;2383546059
27075;86;2369265417
13549;4;2334600384
19418;5;2290078650
68179;12;2272938883
15778;19;2208989214
19585;11;2179100593
08770;8;2140000238
85225;10;2115600327
54377;3;2114892442
52051;168;2089080868
41791;12;2078010815
25394;7;2048911719
41016;7;2045634182
73226;5;2019722989
85263;10;2006811254
68573;57;2006481428
68020;12;1992935400
68820;13;1991294142
73585;37;1968806717
20178;12;1914424985
68264;23;1914285216
15377;4;1905111754
50400;5;1879432310
68533;37;1876681644
52083;109;1835548630
15522;13;1831811933
70230;3;1820508910
17050;76;1819331621
52227;16;1802552359
19780;10;1793588809
54109;12;1782066360
68298;14;1765900820
05690;74;1748760834
25797;46;1744594680
66572;10;1744157841
73067;71;1736643926
68425;4;1723857843
68169;127;1684232495
52210;3;1673156190
25841;7;1644371765
68682;19;1612378688
13074;173;1606749626
17662;12;1604401490
68320;10;1592174391
73547;33;1586803311
19622;12;1574289626
68686;13;1558966076
68673;152;1513093962
52110;111;1495364165
73686;1;1472399220
85325;52;1455853951
25506;25;1391078669
47258;8;1388212000
66383;62;1382093767
15511;22;1366250101
99624;12;1338889901
05101;86;1331139171
68705;10;1321417275
73483;51;1314605598
15232;13;1294480035
41503;15;1274562569
25181;71;1274300100
15814;78;1255827963
23300;2;1240084008
19137;11;1233095814
52019;149;1226116947
73217;119;1224807776
68684;7;1223877360
15248;7;1188845977
63302;4;1178349369
25839;67;1151313623
68867;8;1114185236
15667;4;1106740348
13433;24;1106500091
52427;8;1094748547
52224;31;1084269102
25279;9;1070193494
08141;221;1051402596
19821;2;1048027241
70418;6;1030757382
68498;8;1023743683
85279;3;1020227702
68872;12;1013374065
13620;1;1011987500
52788;6;1007051856
15051;12;1006801142
68370;13;997000165
52473;1;987668600
41319;29;985146757
47205;317;983550000
52405;11;982179815
05040;14;977138164
19397;9;971648003
25867;4;968617461
25777;50;962899314
25580;35;953983319
73624;72;900659030
25053;9;898056073
23570;1;895815451
15879;17;887998469
68250;15;857787678
25483;2;830557940
52258;8;824315478
19450;7;823977730
52720;2;795999800
76828;7;755437123
73200;21;753324735
52260;33;744341450
52786;8;734991808
70235;36;732251000
41676;9;729778873
73461;87;723347182
50223;1;722931765
47675;2;721410000
68176;3;691691904
70523;6;679449423
25258;6;663827611
68377;2;649522225
15514;55;643012543
52207;49;642129786
50124;3;636122019
52079;6;634054939
23678;3;620464978
19517;2;614437192
18150;53;601922659
52885;22;591945584
47605;1;578040190
50590;42;574188090
52036;4;564077020
25489;102;555621207
25805;1;550000000
85400;2;549693874
05842;2;549400000
19455;19;540745045
19130;4;532366000
52256;6;525777641
25898;6;516545699
54128;7;506499657
68468;3;503308790
70110;2;499917750
23168;2;495894256
41244;6;487050350
15861;1;431300000
25312;27;425913852
70717;7;419310300
52378;39;398798933
20228;25;398041620
68575;10;396037420
73270;31;394985278
05761;20;391713423
68160;9;383468191
15632;28;381278421
52203;5;371569800
25086;83;361377642
52435;5;360670349
25339;3;348943675
52399;2;340487158
52687;2;327424937
41349;2;325000000
08560;8;306817711
73675;28;279417662
17446;2;274000000
52506;1;267800000
19212;6;260029017
73555;22;259215561
54245;2;254341861
25168;3;252227900
15804;1;244150000
52323;5;243745000
52490;3;243092611
52520;6;235921909
73870;6;231700958
52381;6;219956500
19300;30;219091870
13894;5;217440000
44650;16;214621452
27600;2;199190000
73030;35;190836792
52240;24;187432240
52411;2;186492825
52320;1;178453000
05670;6;177226238
25845;26;174673158
52540;6;173315915
52254;7;170889250
25535;2;167455000
25317;15;162337889
66687;2;161073093
23670;9;157073000
05658;13;156081907
27361;33;153976944
05628;11;151228600
73148;3;147272000
25095;4;146974800
25438;10;146133265
73283;15;140215331
13490;4;127268941
70771;3;126900449
52693;1;120000000
52585;1;110000000
52678;2;105257321
52352;2;103916667
41770;1;101983500
68344;3;100766000
68207;6;100500000
08606;2;100000000
17013;21;99537440
05368;7;95291678
50680;2;94700000
23686;4;94466296
76100;16;94275000
68101;3;84060250
52480;19;83407620
52215;3;81587500
47720;52;80017667
05411;5;78576288
15332;15;77877709
25649;9;76807800
19743;4;75068484
19075;1;75000000
13212;4;73000000
70400;2;72000000
23580;1;72000000
47268;10;66638206
23586;4;63375448
41872;4;60397500
52317;8;60165300
19693;1;59838198
05206;1;57500000
13268;13;54000000
76054;5;46400000
52390;1;46356486
05197;6;44328995
54820;4;43587275
19355;1;41801249
