anio_key,nombre_departamento,divipola_departamento,HHI_promedio,HHI_mediana,mercados,total_contratos,inversion_total
2020,Bogotá,11,3492.3364936581693,641.883739652866,3,133739,37038202527844
2020,Amazonas,91,3196.6247565290128,1324.462670766576,4,5240,165899468549
2020,Putumayo,86,2258.5404487930386,1378.8296798677777,13,6711,471404681942
2020,Caquetá,18,2137.9911798769,1478.2105085378516,18,8501,793811714540
2020,Bolívar,13,1713.3658474613321,730.3143282340545,51,31808,2426105006244
2020,Chocó,27,1696.7504480733232,839.4322845451993,29,5059,215577425285
2020,Atlántico,08,1611.7588122883378,898.7446486072936,27,32126,5728624174191
2020,Sucre,70,1419.4477317554856,804.4994075114048,35,19931,1520400403206
2020,Córdoba,23,1346.8375635330765,814.9722729138687,31,16937,1898187489197
2020,La Guajira,44,1336.8889509400858,797.8779352762451,18,13475,764285451765
2020,Vichada,99,1216.7053453693957,1194.515048538972,5,4378,236703699815
2020,Boyacá,15,1193.950968022146,468.8451791996348,153,46905,2831017251712
2020,Meta,50,1149.662637927916,559.6070025699074,36,31677,1245454029697
2020,Nariño,52,1115.8602711888743,358.9570234108389,73,62687,2358734433312
2020,Risaralda,66,1086.3092525540542,492.7196576024266,19,24592,1239580693956
2020,Cesar,20,1047.8303200511227,433.3226495615534,27,19430,1360760860188
2020,Huila,41,1025.7885024936518,433.18983576411074,51,36167,1605451001339
2020,Antioquia,05,946.2558622431932,424.7265950623887,149,173383,17118188721258
2020,Tolima,73,930.9094983044969,411.67058608320673,54,31948,1124720515038
2020,Guainía,94,923.9968786596332,923.9968786596332,2,1902,121450315408
2020,Norte de Santander,54,905.914104551472,397.1272475105149,41,21733,1015206290797
2020,Magdalena,47,903.6250460900943,484.0717003600795,30,45406,2042912098608
2020,Cauca,19,814.5301707827762,717.0238992376256,43,26208,1857917702225
2020,Quindío,63,807.462403512496,316.3908127605682,17,23006,465243495284
2020,Arauca,81,758.5432887725325,522.702482247329,10,13599,393595327820
2020,Vaupés,97,737.7835602543369,444.8360420429594,4,2210,95994604585
2020,Cundinamarca,25,733.4494717729402,282.78653340406834,143,74992,2863234053477
2020,Caldas,17,659.7710415830852,308.9636453761443,33,33859,1647978032279
2020,Valle del Cauca,76,643.4809554091142,317.21194582852564,55,102468,5432474088471
2020,Santander,68,610.9180848432322,356.7707986503187,95,53266,3114439537220
2020,Guaviare,95,524.2865706581775,519.8513198756996,6,5601,238797574591
2020,Casanare,85,434.9445987288208,335.88992613850183,21,18111,980898504523
2021,Chocó,27,2126.172953904022,1382.8798008732358,28,4708,310015051851
2021,Putumayo,86,2124.4226812004235,873.291909276649,14,11941,464277968635
2021,Atlántico,08,1928.7760258961991,717.2456462440222,29,40147,5423565620108
2021,Bolívar,13,1664.8265504228089,1094.445725588664,52,33912,2882833067168
2021,Caquetá,18,1620.5400313809891,827.7784204067887,18,9361,1348234638314
2021,Casanare,85,1593.9165784111176,627.6400816288179,22,23237,1296317730816
2021,La Guajira,44,1569.010111641125,914.5316243133074,19,15727,1634249106694
2021,Bogotá,11,1538.6485481335346,380.5179461715247,3,147683,57862884032626
2021,Arauca,81,1476.8654256350098,1041.6381016552307,10,12721,690415103235
2021,Antioquia,05,1297.4441152659244,732.436412845653,153,196823,20655549984463
2021,Sucre,70,1292.970864732403,873.3889900794984,34,23432,1301693524706
2021,Amazonas,91,1215.1239798429156,542.2747449691294,4,5046,205305834833
2021,Córdoba,23,1158.7142663557086,919.2230372235047,32,18654,2140703541186
2021,Boyacá,15,1137.941437785834,577.1831800057988,154,50110,2582196329822
2021,Meta,50,1136.688172646538,527.4660860688812,36,36315,1822154713936
2021,Nariño,52,1132.4299891283304,417.64089171606236,74,73085,2244015733689
2021,Tolima,73,1083.546050458286,487.9202785767743,54,38414,1804400832523
2021,Vaupés,97,1082.3522878948813,1159.6695370112222,4,2462,211323866663
2021,Magdalena,47,1057.0466219622483,454.42926759570355,32,54569,1409261697965
2021,Guaviare,95,1009.4312634963599,550.0450102384094,6,5778,542747094109
2021,Huila,41,915.8188260243055,467.81692875652504,50,38767,1864236233811
2021,Cauca,19,876.1389959802735,700.8164857720227,43,27992,1989432265009
2021,Cundinamarca,25,864.3042600826935,466.6314377386623,145,89344,4173746601012
2021,Norte de Santander,54,858.3030318632358,438.1208659792581,43,31375,1509574602082
2021,Cesar,20,854.792073590402,557.6269417296089,28,21699,1946377162471
2021,Valle del Cauca,76,832.3389649996121,449.0592528241465,56,110195,7068393093874
2021,Santander,68,819.3448522521675,542.2632455674815,95,61143,4174637064656
2021,Quindío,63,656.5296516612558,440.3444634504318,17,26698,778885257464
2021,Vichada,99,654.5241574825143,495.2634690848454,5,5060,225866615510
2021,Caldas,17,636.2579708828799,351.57566869978467,33,38201,2442892166420
2021,Risaralda,66,530.4854581089344,418.4851685746113,18,26714,1168758841062
2021,Guainía,94,423.7603488295888,423.7603488295888,2,2184,244406931869
2022,Putumayo,86,2982.6194196994993,1878.6637040938876,15,9796,524354117752
2022,Guaviare,95,2895.179149827478,1606.2927502965483,6,5056,1385861244206
2022,Bogotá,11,2685.8036626433845,1259.9246803712217,3,136994,90041838555871
2022,Chocó,27,2471.0378438981274,1051.5431170674208,28,4566,1156291409545
2022,Bolívar,13,2402.6492698699094,1233.0116949114781,54,31140,3197634531423
2022,La Guajira,44,2207.1781246331147,1403.6709260418197,20,12234,2027887130831
2022,Vaupés,97,2120.0891382274303,1296.7219522822372,4,2331,235805620863
2022,Sucre,70,2052.6111508219456,863.4973914630491,36,19229,1280319472958
2022,Vichada,99,1927.1080042424935,632.8061139607516,5,5426,349831240136
2022,Arauca,81,1695.578091597752,1028.4547116142467,10,7663,729894715612
2022,Caquetá,18,1583.4102071760929,680.0563100033676,18,7605,1071395890614
2022,Nariño,52,1561.0580598532713,894.4234454282371,77,60220,2054216007293
2022,Magdalena,47,1542.2113884940159,969.4946257684729,35,34642,1705305993823
2022,Atlántico,08,1496.7907609101514,1000.0591511848941,31,37897,4365389970614
2022,Cesar,20,1474.1967248080568,942.6715016835058,31,19321,2665673170699
2022,Boyacá,15,1403.2448684575654,590.0598168030951,157,45160,2472701346078
2022,Córdoba,23,1317.0913182819331,895.1026146230938,32,17243,2529478613486
2022,Antioquia,05,1276.8044656804097,586.3345580305919,161,144433,15656434539711
2022,Amazonas,91,1270.178137529501,1235.9729810671251,4,4628,278377000845
2022,Tolima,73,1269.284797996048,730.3526321844288,56,35000,1947462792424
2022,Casanare,85,1241.369876765608,511.2809063904845,22,20666,1539086622062
2022,Huila,41,1216.6040706568667,524.4318116474717,51,29853,2190333266527
2022,Cundinamarca,25,1204.6385674992111,595.6479236654828,150,73336,5124840387510
2022,Meta,50,1139.8670981299726,583.9224452259523,35,32811,2761520611491
2022,Norte de Santander,54,1125.543760377498,439.59909934645015,45,34567,1707604897825
2022,Quindío,63,1072.7282602083026,391.17497690417486,17,22361,840627913658
2022,Cauca,19,1012.4836426419113,714.3533513478548,46,26237,1799571513428
2022,Valle del Cauca,76,988.0066783449321,495.2767848331084,60,98092,6871139847250
2022,Santander,68,866.6529735932356,535.8394201475148,98,58722,4567032895436
2022,Risaralda,66,788.3438148969835,640.1315135288862,18,25271,1410972551811
2022,Caldas,17,660.0139576433803,372.8666721744686,34,28227,1732157974059
2022,Guainía,94,627.3014193004448,627.3014193004448,2,1980,257649338841
2023,Bolívar,13,2703.923472931556,1729.7151772105506,53,29067,3115814120475
2023,Atlántico,08,2489.6898297323773,1241.5506316522383,31,35147,3925576715619
2023,Chocó,27,2431.055075742153,1005.622685008343,28,5010,1241567702738
2023,Magdalena,47,2185.736251938782,1480.372531464467,36,25650,2719669820978
2023,Arauca,81,2157.605310953932,1667.744388901659,12,4171,674537451432
2023,Nariño,52,1889.8141690021555,768.9475722748347,75,43568,1839228968934
2023,Cauca,19,1831.0000369008214,607.571625418695,48,26562,2281777970289
2023,Cesar,20,1801.4113983861455,1150.12235492533,30,14722,1834529166414
2023,Caquetá,18,1750.891715585159,605.897829663489,19,5016,686797192839
2023,Amazonas,91,1745.6046785281342,703.0978480655472,4,2156,213501012324
2023,La Guajira,44,1610.959907762695,817.6679449676747,20,7173,2177505943289
2023,Córdoba,23,1576.435042364552,946.0677338250356,33,12059,2412347417863
2023,Vaupés,97,1537.7360179851123,1331.736289922747,4,1656,140903486327
2023,Antioquia,05,1531.4986278428598,1020.8289227066012,159,109958,16561729206166
2023,Tolima,73,1516.7576189615042,703.1074957641806,56,30036,2124143971417
2023,Putumayo,86,1462.006422310493,1157.9159628490695,15,7067,523664197832
2023,Sucre,70,1425.8740281751618,851.4353515844075,30,14614,1463519529805
2023,Bogotá,11,1407.2540288152707,115.37859087282125,3,153178,39990552460544
2023,Boyacá,15,1402.6413353243115,863.8114403390899,139,38798,3018651260707
2023,Meta,50,1291.0523054968608,837.1984486222678,37,31018,3117396612208
2023,Casanare,85,1238.5331914617634,562.7012428077178,23,18171,1257914870548
