divipola_municipio,nombre_municipio,nombre_departamento,region,categoria
05658,San José de la Montaña,Antioquia,Andina,Sexta
05659,San Juan de Urabá,Antioquia,Andina,Sexta
05660,San Luis,Antioquia,Andina,Sexta
05664,San Pedro,Antioquia,Andina,Sexta
05665,San Pedro de Uraba,Antioquia,Andina,Sexta
05667,San Rafael,Antioquia,Andina,Sexta
05670,San Roque,Antioquia,Andina,Sexta
05674,San Vicente,Antioquia,Andina,Sexta
05679,Santa Bárbara,Antioquia,Andina,Sexta
05686,Santa Rosa de Osos,Antioquia,Andina,Sexta
05690,Santo Domingo,Antioquia,Andina,Sexta
05697,El Santuario,Antioquia,Andina,Sexta
05736,Segovia,Antioquia,Andina,Sexta
05756,Sonson,Antioquia,Andina,Sexta
05761,Sopetrán,Antioquia,Andina,Sexta
05789,Támesis,Antioquia,Andina,Sexta
05790,Tarazá,Antioquia,Andina,Sexta
05792,Tarso,Antioquia,Andina,Sexta
05809,Titiribí,Antioquia,Andina,Sexta
05819,Toledo,Antioquia,Andina,Sexta
05837,Turbo,Antioquia,Andina,Segunda
05842,Uramita,Antioquia,Andina,Sexta
05847,Urrao,Antioquia,Andina,Sexta
05854,Valdivia,Antioquia,Andina,Sexta
05856,Valparaíso,Antioquia,Andina,Sexta
05858,Vegachí,Antioquia,Andina,Sexta
05861,Venecia,Antioquia,Andina,Sexta
05873,Vigía del Fuerte,Antioquia,Andina,Sexta
05885,Yalí,Antioquia,Andina,Sexta
05887,Yarumal,Antioquia,Andina,Sexta
05890,Yolombó,Antioquia,Andina,Sexta
05893,Yondó,Antioquia,Andina,Sexta
05895,Zaragoza,Antioquia,Andina,Sexta
08001,Barranquilla,Atlántico,Caribe,Especial
08078,Baranoa,Atlántico,Caribe,Sexta
08137,Campo de la Cruz,Atlántico,Caribe,Sexta
08141,Candelaria,Atlántico,Caribe,Sexta
08296,Galapa,Atlántico,Caribe,Sexta
08372,Juan de Acosta,Atlántico,Caribe,Sexta
08421,Luruaco,Atlántico,Caribe,Sexta
08433,Malambo,Atlántico,Caribe,Sexta
08436,Manatí,Atlántico,Caribe,Sexta
08520,Palmar de Varela,Atlántico,Caribe,Sexta
08549,Piojó,Atlántico,Caribe,Sexta
08558,Polonuevo,Atlántico,Caribe,Sexta
08560,Ponedera,Atlántico,Caribe,Sexta
08573,Puerto Colombia,Atlántico,Caribe,Sexta
08606,Repelón,Atlántico,Caribe,Sexta
08634,Sabanagrande,Atlántico,Caribe,Sexta
08638,Sabanalarga,Atlántico,Caribe,Sexta
08675,Santa Lucía,Atlántico,Caribe,Sexta
08685,Santo Tomás,Atlántico,Caribe,Sexta
08758,Soledad,Atlántico,Caribe,Sexta
08770,Suan,Atlántico,Caribe,Sexta
08832,Tubará,Atlántico,Caribe,Sexta
08849,Usiacurí,Atlántico,Caribe,Sexta
11001,Bogotá D.C.,Bogotá,Bogotá D.C.,Capital
13001,Cartagena,Bolívar,Caribe,Especial
13006,Achí,Bolívar,Caribe,Sexta
13030,Altos del Rosario,Bolívar,Caribe,Sexta
13042,Arenal,Bolívar,Caribe,Sexta
13052,Arjona,Bolívar,Caribe,Sexta
13062,Arroyohondo,Bolívar,Caribe,Sexta
13074,Barranco de Loba,Bolívar,Caribe,Sexta
13140,Calamar,Bolívar,Caribe,Sexta
13160,Cantagallo,Bolívar,Caribe,Sexta
13188,Cicuco,Bolívar,Caribe,Sexta
13212,Córdoba,Bolívar,Caribe,Sexta
13222,Clemencia,Bolívar,Caribe,Sexta
13244,El Carmen de Bolívar,Bolívar,Caribe,Sexta
13248,El Guamo,Bolívar,Caribe,Sexta
13268,El Peñón,Bolívar,Caribe,Sexta
13300,Hatillo de Loba,Bolívar,Caribe,Sexta
13430,Magangué,Bolívar,Caribe,Sexta
13433,Mahates,Bolívar,Caribe,Sexta
13440,Margarita,Bolívar,Caribe,Sexta
13442,María la Baja,Bolívar,Caribe,Sexta
13458,Montecristo,Bolívar,Caribe,Sexta
13468,Mompós,Bolívar,Caribe,Sexta
13473,Morales,Bolívar,Caribe,Sexta
13490,Norosí,Bolívar,Caribe,Sexta
13549,Pinillos,Bolívar,Caribe,Sexta
13580,Regidor,Bolívar,Caribe,Sexta
13600,Río Viejo,Bolívar,Caribe,Sexta
13620,San Cristóbal,Bolívar,Caribe,Sexta
13647,San Estanislao,Bolívar,Caribe,Sexta
13650,San Fernando,Bolívar,Caribe,Sexta
13654,San Jacinto,Bolívar,Caribe,Sexta
13655,San Jacinto del Cauca,Bolívar,Caribe,Sexta
13657,San Juan Nepomuceno,Bolívar,Caribe,Sexta
13667,San Martín de Loba,Bolívar,Caribe,Sexta
13670,San Pablo,Bolívar,Caribe,Sexta
13673,Santa Catalina,Bolívar,Caribe,Sexta
13683,Santa Rosa,Bolívar,Caribe,Sexta
13688,Santa Rosa del Sur,Bolívar,Caribe,Sexta
13744,Simití,Bolívar,Caribe,Sexta
13760,Soplaviento,Bolívar,Caribe,Sexta
13780,Talaigua Nuevo,Bolívar,Caribe,Sexta
13810,Tiquisio,Bolívar,Caribe,Sexta
13836,Turbaco,Bolívar,Caribe,Sexta
13838,Turbaná,Bolívar,Caribe,Sexta
13873,Villanueva,Bolívar,Caribe,Sexta
13894,Zambrano,Bolívar,Caribe,Sexta
15001,Tunja,Boyacá,Andina,Sexta
15022,Almeida,Boyacá,Andina,Sexta
15047,Aquitania,Boyacá,Andina,Sexta
15051,Arcabuco,Boyacá,Andina,Sexta
15087,Belén,Boyacá,Andina,Sexta
15090,Berbeo,Boyacá,Andina,Sexta
15092,Betéitiva,Boyacá,Andina,Sexta
15097,Boavita,Boyacá,Andina,Sexta
15104,Boyacá,Boyacá,Andina,Sexta
15106,Briceño,Boyacá,Andina,Sexta
15109,Buenavista,Boyacá,Andina,Sexta
15114,Busbanzá,Boyacá,Andina,Sexta
15131,Caldas,Boyacá,Andina,Sexta
15135,Campohermoso,Boyacá,Andina,Sexta
15162,Cerinza,Boyacá,Andina,Sexta
15172,Chinavita,Boyacá,Andina,Sexta
15176,Chiquinquirá,Boyacá,Andina,Sexta
15180,Chiscas,Boyacá,Andina,Sexta
15183,Chita,Boyacá,Andina,Sexta
15185,Chitaraque,Boyacá,Andina,Sexta
15187,Chivatá,Boyacá,Andina,Sexta
15189,Ciénega,Boyacá,Andina,Sexta
15204,Cómbita,Boyacá,Andina,Sexta
15212,Coper,Boyacá,Andina,Sexta
15215,Corrales,Boyacá,Andina,Sexta
